Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,58.79,55.022,49.926,41.751,31.492,28.54,25.767,26.414,..,..
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.26456582010254,5.23162237725058,4.53787889681146,5.3185559967348,6.35703367575527,7.29128249622041,6.54156940484837,5.8467786039069,5.80601710915959,..
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,..,..,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,98.4,93.9,99.5,99.6,98.8,..,..,..,..,..
Argentina,ARG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,70.1027087175867,..,..,..,..,..
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,37.9322482578709,38.8683983871173,..,37.8443440962428,45.7796388175674,40.7222722878412,41.4598299788054,78.9183308265338,39.7104696307833,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,3104.98925144338,3005.76483124641,2971.34364838317,2876.71852724712,2827.42739776861,2942.91077511635,2833.11909750338,2821.77233232234,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1889.87018853289,1874.82963739464,1806.77623499039,1777.41507710553,1623.92450833523,1741.51377200597,1808.76021335553,1832.06690004241,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.5270951690009,11.3202833596733,14.4366857499034,17.9248783778462,16.6054144372484,18.0667091690365,16.2816677253254,12.8223120961047,15.2497485928824,..
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,181637286190.7,225923967186.1,277825747406.2,280683596388,255603072878.8,246114307414,248976650822,252793904703.1,242357155703.1,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.241,2.168,2.067,1.882,1.601,1.585,1.482,1.5,..,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3260164341.77393,11516861462.2844,11716769818.7543,6649187837.98606,4884127675.95707,6658049679.27727,15206087397.3003,24756887226.6539,11644393816.0627,..
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,290100,288990,287910,286810,285730,284640,283550,282461.852,..,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,633993756301.08,649461687959.174,638365455340.04,..
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,6.02074537534855,-1.85578803046339,-1.34293072157739,..
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12130,13070,12390,11210,9040,10070,11890,12920,13530,..
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,19660,22790,23540,22590,21790,25770,29260,29570,29800,..
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,532504167159.506,578798149500.896,553193024104.448,504056284870.866,408628794998.707,456257174738.439,539796984147.371,588256951450.064,618174835332.571,..
